"","x","R","URS","UR","RS"
"1",1,0.292509421186906,0.541550518571247,0.54159996783323,0.0460393440244567
"2",2,0.292509421186906,0.402957644460067,0.402929883205083,0.0460393354169699
"3",3,0.292509421186906,0.321804147389226,0.321814947986877,0.0460393353919824
"4",4,0.292509421186906,0.231220187974517,0.231205771577925,0.0460393353493827
"5",5,0.292509421186906,0.123831402241751,0.123844165257143,0.0460393353082244
"6",6,0.292509421186906,0.333505835100554,0.333377466833604,0.284283999399797
"7",7,0.619113259534883,1.31868707132995,1.31864385630485,1.21524540794911
"8",8,2.48669619936079,2.58139497559636,2.58114039398558,2.47773956579546
"9",9,3.79843085951196,3.76532074311982,3.76539055168995,3.74023372364182
"10",10,4.11853851807028,4.05472224917666,4.05417270194421,4.52867670731756
"11",11,4.42587288241038,4.40597227885946,4.40620985044955,4.57949452153836
"12",12,4.73320724675048,4.6883352278687,4.68758090182291,4.63031233575915
"13",13,4.87716026331424,4.83104268648306,4.83125466570049,4.68113014997995
"14",14,4.86772528474041,4.95028020706831,4.94976406565985,4.73194796420074
"15",15,4.85829030616659,4.80479005140623,4.80465895357101,4.78276577842153
"16",16,4.84885532759277,4.84493178941733,4.84465374526927,4.83358359264233
"17",17,4.83942034901894,4.88638966607155,4.88614279093959,4.88440140686312
"18",18,4.82998537044512,4.84647970011899,4.84631365195449,4.93521922108392
"19",19,4.8205503918713,4.86708704550457,4.86678932633439,4.98603703530472
"20",20,4.73693875077398,4.73571646534169,4.73566645647415,4.72218507766814
"21",21,4.24152511592782,4.22314104242286,4.22284732125948,3.98558778394607
"22",22,3.31938570048491,3.52328715323874,3.52328356195149,3.24569616511691
"23",23,2.35448047339094,2.31564955706994,2.31567997475931,2.38337353668177
"24",24,1.38957524629697,1.35110933160032,1.35110264789403,1.38598518605595
