"","x","R","URS","UR","RS"
"1",1,1.33978535887271,1.71866962649235,1.71875461553828,1.04711560788859
"2",2,1.33978535887271,1.49624351611944,1.49620197909824,1.04711559887556
"3",3,1.33978535887271,1.37961454838456,1.37962944912668,1.04711559884939
"4",4,1.33978535887271,1.2601366758463,1.26011850934717,1.04711559880479
"5",5,1.33978535887271,1.13182503174901,1.1318394773415,1.04711559876169
"6",6,1.33978535887271,1.39585319146149,1.39567401970661,1.32881025848569
"7",7,1.85728038575952,3.73850975701965,3.73834820071749,3.37112126277221
"8",8,12.0214938212667,13.2155606918368,13.2121966813344,11.9143024596602
"9",9,44.6310970577461,43.1775525420358,43.1805668104501,42.1078306104991
"10",10,61.4693402553346,57.6691431195161,57.6374599080252,92.6358955361082
"11",11,83.5857359069594,81.9387714615455,81.9582400982775,97.4651152368605
"12",12,113.659512499837,108.672114825055,108.590171528259,102.546087919361
"13",13,131.2573977003,125.341584519005,125.368157146326,107.891937766759
"14",14,130.02481082433,141.214527687001,141.141659828463,113.516473141521
"15",15,128.803798689544,122.093854896999,122.077849706074,119.434222252515
"16",16,127.594252602075,127.094612500491,127.059279499531,125.660470681463
"17",17,126.396064888758,132.474432702558,132.441732096153,132.211300865689
"18",18,125.209128887544,127.291495950993,127.270361186477,139.103633639153
"19",19,124.033338938006,129.941850365556,129.903169943931,146.355271939067
"20",20,114.084425717686,113.94506717139,113.939369050098,112.413616984206
"21",21,69.513787620751,68.2475163156119,68.227473519363,53.8169129005393
"22",22,27.6433640365216,33.895665784189,33.8955440553353,25.6795810674767
"23",23,10.5326554452579,10.1315017704463,10.1318099520071,10.8414151532313
"24",24,4.01314509268682,3.86170706911792,3.86168125868834,3.99876349090297
