"","x","R","URS","UR","RS"
"1",1,0.0167945162665729,0.541454713999408,0.54154385562596,6.23294417879223e-08
"2",2,0,0.402956386725483,0.402892877976593,1.15028049279445e-10
"3",3,0.00394928325504894,0.32173442290561,0.321774090383154,-1.99532546644169e-12
"4",4,0.00409095643320575,0.23122849244641,0.231179258089038,3.51877108486491e-06
"5",5,0,0.123800080431496,0.123830905786054,-2.79796480343262e-14
"6",6,0.0963902319864761,0.333640403548749,0.333333403333617,-2.28456596315947e-14
"7",7,1.34370981261832,1.31839682901059,1.31842265374494,0.534735181078363
"8",8,2.59102939325016,2.58115176517371,2.58079310116249,1.63122533500393
"9",9,3.838348973882,3.76479165739566,3.76486416976376,4.88794196923992
"10",10,4.19761873391497,4.0542973066538,4.05366600536514,4.87629689743171
"11",11,4.52661030377479,4.40546569776261,4.40563360468136,4.8646518256235
"12",12,4.76958279898174,4.68778125154144,4.68696519624019,4.85300675381529
"13",13,4.78326840475536,4.83051286644901,4.830665735702,4.84136168200708
"14",14,4.79695401052897,4.9497241291058,4.94915827140519,4.82971661019887
"15",15,4.81063961630259,4.80436625030911,4.80408198674785,4.81807153839066
"16",16,4.82432522207621,4.84441475766144,4.84407854272863,4.80642646658245
"17",17,4.83387241900715,4.88586957343412,4.88552684615899,4.79478139477424
"18",18,4.81435262763787,4.84590632763625,4.84573943360435,4.78313632296603
"19",19,4.79483283626858,4.86662432886847,4.86624566263533,4.77149125115782
"20",20,4.77531304489929,4.73506704268228,4.73508859264074,4.75984617934961
"21",21,3.94491357434156,4.22278050317094,4.22233671604727,3.95184412996318
"22",22,3.11451410378382,3.52271944259638,3.52284373827542,3.14384208057674
"23",23,2.28411463322608,2.31534210340466,2.31533708460384,2.3358400311903
"24",24,1.45371516266834,1.35097530129873,1.35091795387775,1.52783798180386
