"","x","R","URS","UR","RS"
"1",1,23.9268409252752,1.52242770782203,2.27432599482365,3.85314524471579
"2",2,28.0867718363567,2.09725445803596,1.77523595549384,4.709210027479
"3",3,36.4449418987006,2.19083501440259,2.12015484946097,6.31743310095834
"4",4,49.1303253674298,1.71912962189997,1.92461665668596,16.158409867688
"5",5,66.3954375272289,1.21552384659476,0.328428187376881,29.7507432394269
"6",6,88.7343089590317,2.53946930968446,0.780976884463452,54.4830430218558
"7",7,120.40368779122,7.72597108361269,4.92170245046045,91.2703573110579
"8",8,160.286338275732,16.3350680158036,14.4880419150593,157.149623141115
"9",9,192.554861536948,23.8179850863492,24.5610196162851,205.717499575229
"10",10,219.376702095655,26.7308674826536,22.9620539402276,238.852007902973
"11",11,241.931873189505,28.9515850722162,24.115454730649,264.791871934975
"12",12,260.92750755321,31.2192493228399,30.1542801080744,286.048095183326
"13",13,270.815625356961,31.7935829334987,27.3313751864106,303.992171152498
"14",14,278.001059287526,31.6742123829281,27.434437337756,319.741778947284
"15",15,282.601769559514,32.7531195362629,28.7093447980961,328.147692918565
"16",16,284.464840467189,34.0599548097994,30.3062636846388,336.310578176667
"17",17,283.168366955127,33.7865153144792,31.81429175321,334.077782011949
"18",18,278.167923801006,31.4699967060977,26.3047440604906,331.380589092741
"19",19,268.866707382648,30.4342161375365,25.6967398436399,318.108922185405
"20",20,254.416790070534,29.2412317505059,29.1248830923217,303.746804194673
"21",21,233.535743980652,24.8760601339137,21.631586944753,236.640017707285
"22",22,204.618058863761,17.2601221189422,16.62869287168,169.533231219896
"23",23,164.967864813703,8.18803888041334,7.38758105285601,102.426444732507
"24",24,108.472927385459,3.69510647502179,3.66174942082092,35.3196582451178
