"","x","R","URS","UR","RS"
"1",1,8.02720510793147,1.52242771261649,2.27432601426333,15.3881482025526
"2",2,12.6004038136273,2.09725444886511,1.7752359432329,15.7968464136009
"3",3,21.770561046047,2.19083499363847,2.12015482609442,16.3078954096323
"4",4,35.6845051993885,1.71912959525843,1.9246166379028,17.9087217470148
"5",5,54.6699341671323,1.21552381041144,0.328428157708849,21.4275515142379
"6",6,79.3149594818237,2.53946925522254,0.78097684158863,25.2943394594309
"7",7,110.503506483937,7.72597101356874,4.92170237742856,29.5027708236919
"8",8,149.575841357631,16.3350679468918,14.488041850883,110.654988906781
"9",9,199.267228457205,23.8179850059618,24.5610195936559,244.769255328235
"10",10,234.888943411979,26.7308673387775,22.9620538045186,320.358440654986
"11",11,262.002204896437,28.9515848816097,24.1154545289892,319.72780275367
"12",12,282.840982413228,31.219249123242,30.1542799641169,318.79562775208
"13",13,298.555204677347,31.7935827341689,27.3313749938076,317.632262623169
"14",14,309.943735240241,31.6742121812803,27.4344371791254,316.398626748686
"15",15,317.122891316888,32.7531193319389,28.7093446215677,315.164990874202
"16",16,319.522288858271,34.0599546087426,30.3062634903371,313.931354999719
"17",17,315.895668094965,33.7865151357068,31.814291621371,312.697719125236
"18",18,304.360102739898,31.4699965415432,26.304743907931,311.464083250753
"19",19,282.455959368006,30.4342160018444,25.696739715308,310.23044737627
"20",20,245.054587895575,29.2412316388021,29.1248830399222,308.996811501787
"21",21,177.693761112645,24.8760600385364,21.6315868155959,239.927114171365
"22",22,131.42986142404,17.2601220587691,16.6286928389155,170.857416840942
"23",23,101.836810922171,8.18803886189856,7.38758104426973,101.787719510519
"24",24,87.6242707385279,3.69510648200383,3.66174942817969,32.7180221800963
