"","x","y","R_sd1","URS_sd1","UR_sd1","R_sd2","URS_sd2","UR_sd2","R_sd3","URS_sd3","UR_sd3","RS_sd1","RS_sd2","RS_sd3"
"1",1,0.333333333333333,0.36,0.368,0.365,0.382,0.361,0.36,0.343,0.242,0.263,0.275,0.318,0.318
"2",2,0.444444444444444,0.445,0.473,0.473,0.451,0.464,0.463,0.501,0.293,0.271,0.442,0.477,0.477
"3",3,0.666666666666667,0.678,0.672,0.669,0.679,0.645,0.644,0.728,0.766,0.855,0.642,0.674,0.674
"4",4,1,1.036,1.003,1.009,1.026,1.002,1.003,1.036,1.118,1.034,0.959,0.979,0.979
"5",5,1.44444444444444,1.508,1.461,1.456,1.495,1.463,1.466,1.504,1.521,1.569,1.476,1.438,1.438
"6",6,2,2.076,2.019,2.044,2.045,2.09,2.1,2.049,1.855,1.842,2.075,2.009,2.009
"7",7,2.66666666666667,2.68,2.679,2.636,2.653,2.652,2.605,2.686,2.75,2.749,2.703,2.712,2.712
"8",8,3.44444444444444,3.325,3.352,3.423,3.381,3.472,3.563,3.38,3.382,3.434,3.401,3.424,3.424
"9",9,4.33333333333333,4.324,4.419,4.299,4.38,4.441,4.346,4.382,4.523,4.337,4.377,4.368,4.368
"10",10,5.22222222222222,5.242,5.071,5.174,5.306,5.101,5.215,5.266,4.981,5.134,5.254,5.251,5.251
"11",11,6.11111111111111,6.111,6.231,6.099,6.172,6.264,6.14,6.14,6.08,5.936,6.131,6.135,6.135
"12",12,7,6.965,6.918,6.955,6.981,6.941,7.033,6.975,6.834,6.921,7.01,6.981,6.981
"13",13,4.66666666666667,4.593,4.673,4.633,4.544,4.737,4.674,4.307,4.597,4.545,4.56,4.528,4.528
"14",14,2.33333333333333,2.296,2.333,2.354,2.169,2.298,2.32,1.88,2.244,2.3,2.242,2.158,2.158
"15",15,0,0.083,0.002,-0.007,0.029,-0.028,-0.031,0.181,0.072,0.032,0.033,0,0
"16",16,0,0.008,0.018,0.025,0,0.011,0.016,0,0.026,0.084,0,0,0
"17",17,0,0.004,0.017,0.013,0,-0.073,-0.078,0,0.032,-0.156,0,0,0
"18",18,0,0,0.002,0.005,0,-0.046,-0.047,0,0.147,0.216,0,0,0
"19",19,0,0,-0.038,-0.034,0,0.013,0.011,0,-0.058,-0.085,0,0,0
"20",20,0,0,0.02,0.019,0,-0.066,-0.069,0,-0.024,-0.024,0,0,0
